"","2031199_A5","B220819_C8","D15.01276.01","D18.02786.02","D19.01661.02","D20.00840.02","D21.00483.01","N181650.A7","N181650_A2","N190186.B1","N190393.A3","N191724.A2","N210403.B3","N211161.A4","N212541.A2","N220339.A4","X18.06732.02","X18.09852.02","X19.08326.02","Z0502927.A3","Z0520920.B3","Z0521061.B4","Z0521146.A2","Z0940919.A1","Z0952754.A2","a78804"
"Caulobacter",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_uncultured",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Oceanicaulis",0,0,0,11,0,30,28,0,0,0,99,46,9,0,0,18,0,85,89,0,0,0,0,0,3,4
"SWB02",0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Hyphomonadaceae_uncultured",0,0,2,41,9,158,179,0,0,0,729,260,32,12,27,134,11,496,539,0,0,0,0,0,20,25
"Defluviicoccus",0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dongia",3,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,3,0,2,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Elsterales_uncultured_uncultured",0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Kiloniellales_Fodinicurvataceae_uncultured",22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales_Micavibrionaceae_uncultured",0,0,0,19,5,167,91,0,0,0,687,190,14,10,9,100,0,344,457,0,0,0,0,0,15,15
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales_uncultured_uncultured",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micropepsales_Micropepsaceae_uncultured",0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Paracaedibacterales_Paracaedibacteraceae_uncultured",0,0,0,0,0,0,0,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvibaculaceae",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,12,16,0,0,0,0,0,0,0
"PS1_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0
"SAR116_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0,0,2
"A0839",0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1174-901-12",34,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosea",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Methylobacterium-Methylorubrum",231,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microvirga",0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychroglaciecola",0,0,0,3,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_uncultured",0,0,0,0,0,0,136,0,0,0,3,0,0,0,0,0,50,6,4,0,0,0,0,0,0,6
"Devosia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0
"Maritalea",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0
"KF-JG30-B3",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methyloligellaceae_uncultured",8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",29,15,0,0,0,0,0,14,20,14,25,0,0,0,9,0,413,5,0,3,7,25,66,34,0,0
"Nordella",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Phreatobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,5,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiales_Incertae_Sedis_uncultured",12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,95,0,0,0,0,0,0
"Stappiaceae",20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobium",0,0,5,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,19,0,0,38,0
"Pseudolabrys",38,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_uncultured",8,0,0,21,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amylibacter",0,0,16,0,0,0,0,0,0,0,0,7,0,13,48,0,0,0,6,0,0,0,0,0,13,0
"Celeribacter",54,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marivita",0,0,0,556,176,3158,3359,0,0,0,10902,3773,417,143,258,2581,81,9013,10337,9,18,0,0,0,194,315
"Nautella",65,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus",33,27,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,12,11,0,0
"Rhodobacter",0,0,0,96,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Roseobacter",0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,17,21,0,0,0,0,0,0,0
"Roseovarius",0,0,0,0,0,58,47,0,0,0,159,62,0,0,0,46,0,174,218,0,0,0,0,0,0,0
"Rubellimicrobium",0,0,0,7,54,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulfitobacter",41,0,0,0,0,0,0,0,17,0,21,6,0,0,0,0,0,7,10,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_uncultured",9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yoonia-Loktanella",0,0,0,0,0,10,11,0,0,0,36,18,0,0,0,6,0,37,44,0,0,0,0,0,0,0
"AEGEAN-169_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0
"Magnetospira",0,0,0,0,0,4,0,0,0,0,8,7,0,0,0,0,0,6,12,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Magnetospiraceae_uncultured",2,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Magnetospirillaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_uncultured_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0
"AB1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Anaplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0
"Neorickettsia",14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rickettsia",705,0,0,0,0,0,0,0,383,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_Rickettsiaceae_uncultured",0,0,0,6,4,23,27,0,0,0,151,43,2,0,2,17,0,83,87,0,0,0,0,0,0,7
"SM2D12",0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_uncultured_uncultured",0,0,0,2,0,0,0,0,0,0,0,3,80,0,6,4,0,0,0,0,0,0,0,0,0,0
"Clade_Ia",0,0,2,6,0,4,0,0,0,0,8,8,0,0,111,0,0,5,4,25,0,0,0,0,0,0
"Altererythrobacter",13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novosphingobium",27,0,0,0,23,0,0,0,27,0,0,0,0,0,0,0,31,0,0,22,0,0,0,9,0,4
"Sandaracinobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,0,0,0,5,0
"Sphingomonas",43,0,0,0,0,0,0,0,25,0,14,0,0,0,43,0,0,4,0,86,28,0,12,0,0,0
"Thalassobaculum",0,0,0,4,0,22,22,0,0,0,84,25,4,0,0,21,0,32,56,0,0,0,0,0,0,0
"Candidatus_Alysiosphaera",11,0,0,0,0,0,0,0,3,0,0,0,0,37,62,0,0,0,0,0,0,0,0,0,9,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured_uncultured",0,0,3,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,3,4,0,0,0,39,0
"Acidithiobacillus",0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0
"Aeromonas",0,0,0,12,5,0,4,19,0,0,11,0,12,0,0,38,0,0,0,0,0,12,122,89,0,0
"Succinivibrio",9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Alteromonas",0,0,0,123,87,561,537,0,0,0,2251,898,131,75,69,447,40,1759,2597,0,12,0,0,0,103,81
"Idiomarina",0,0,0,0,0,0,0,45,0,58,0,0,0,0,5,0,0,0,0,4,0,104,43,1000,0,0
"Marinobacter",56,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0
"Advenella",0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0,0,0,0,0,6,0,0,0,0,103
"Bordetella",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0
"Burkholderia-Caballeronia-Paraburkholderia",310,17,0,40,0,0,0,19,266,110,0,10,0,12,0,0,0,0,0,0,0,31,29,50,0,0
"Limnobacter",0,0,0,12,13,62,82,0,0,0,360,115,21,14,0,73,8,232,208,0,0,0,0,0,20,17
"Pandoraea",40,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"Vogesella",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,42,18,0,0
"Aquabacterium",41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Brachymonas",0,0,10,0,0,9,0,0,0,0,0,0,31,0,0,0,0,6,9,0,0,0,0,0,0,0
"Comamonas",0,0,0,0,0,0,0,0,33,11,0,0,0,0,0,0,0,0,0,0,0,15,18,16,0,0
"Hydrogenophaga",0,0,0,192,0,0,0,0,0,6,6,9,7,0,0,6,0,0,0,0,0,0,22,28,0,0
"Pseudorhodoferax",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
"Ramlibacter",30,21,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"Simplicispira",0,0,0,100,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_uncultured",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferrovum",0,0,0,0,0,0,0,7,0,47,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0
"Hydrogenophilus",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tepidiphilus",0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Methylotenera",0,0,0,4,0,10,0,0,0,0,107,28,7,4,0,12,2,77,67,0,0,0,0,0,5,0
"MM2",10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Methylophilaceae_uncultured",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",30,0,0,0,0,265,62,0,0,25,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0
"Snodgrassella",790,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Neisseriaceae_uncultured",0,0,0,20,0,0,0,0,0,0,10,0,2,0,6,0,0,0,0,0,3,0,0,0,0,0
"Ellin6067",10,0,0,101,0,0,2,0,7,33,0,0,0,0,0,5,0,0,4,28,0,8,0,0,0,0
"mle1-7",0,0,0,0,71,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"MND1",6,0,0,35,0,0,61,0,6,70,0,3,9,38,54,6,0,4,6,15,12,41,0,0,28,0
"Janthinobacterium",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massilia",98,0,0,0,0,13,0,0,125,0,0,0,0,0,0,0,13,0,0,977,8,0,0,0,0,0
"Azoarcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0
"Azospira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,17,5,0,0
"Dechloromonas",0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,9,7,0,0,0,0,0,0,173,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Rhodocyclaceae_uncultured",0,0,9,21,18,0,0,0,0,0,19,37,377,0,8,13,0,2,0,0,0,0,0,0,0,7
"SC-I-84",15,0,0,68,6,0,0,0,9,52,6,3,0,13,0,8,0,0,0,0,0,6,0,0,9,0
"AAP99",0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella",9,0,3,0,0,0,9,0,8,6,9,0,0,0,0,0,20,3,0,45,521,0,0,0,59,13
"Sutterella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,5,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Sutterellaceae_uncultured",0,0,0,0,0,0,0,0,24,0,0,0,0,30,29,0,0,0,0,0,0,0,20,0,7,0
"TRA3-20",6,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0
"Haliea",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
"Microbulbifer",51,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porticoccus",0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Spongiibacter",0,0,0,0,3,5,7,0,0,0,22,7,0,0,0,5,0,17,26,0,0,0,0,0,0,0
"Rickettsiella",0,0,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thioalkalispira-Sulfurivermis",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"Pantoea",39,19,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganella",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Granulosicoccales_uncultured_uncultured",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"KF-JG30-C25",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KI89A_clade",0,0,0,3,0,19,16,0,0,0,91,24,10,4,5,10,0,39,52,0,0,0,0,0,6,6
"Legionella",5,0,0,41,13,134,123,0,4,0,630,216,34,26,14,69,6,450,525,0,0,0,0,0,24,19
"Methylocaldum",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_uncultured",25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylothermus",0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0
"Methylophaga",6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcanivorax",19,0,0,59,32,153,194,0,9,0,803,272,78,17,21,132,19,543,694,0,0,0,0,0,26,32
"Endozoicomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Halomonas",8,0,0,0,0,0,0,0,5,0,0,17,73,28,0,0,0,0,18,0,0,0,0,0,0,0
"Litoricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0
"Oleiphilus",0,0,0,0,0,8,0,0,0,0,40,8,0,0,0,4,2,7,20,0,0,0,0,0,0,0
"Pseudohongiella",0,0,0,11,9,39,14,0,0,0,167,30,12,4,0,29,0,93,89,0,0,0,0,0,8,5
"Saccharospirillum",48,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliamella",56,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frederiksenia",0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,6,0,0,0,0,0,0,0
"Pasteurella",0,0,47,5,0,29,21,0,0,0,0,0,76,0,0,0,0,40,35,0,0,0,0,0,0,0
"PLTA13",7,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,5,6,22,7,3,0,0
"Acinetobacter",106,13,0,11,0,0,0,0,107,0,0,0,0,10,0,66,10,0,0,0,0,30,12,10,0,0
"Moraxella",0,0,76,0,0,27,53,0,0,0,0,0,135,0,0,0,0,69,53,0,0,0,0,0,0,0
"Psychrobacter",8,0,0,0,7,0,7,2,0,12,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
"Azotobacter",48,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",100,31,0,0,52,15,0,4,47,0,0,0,0,71,26,24,25,0,0,2781,26,0,84,57,12,0
"Polycyclovorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,0,0,0,0
"SAR86_clade",0,0,7,5,0,0,0,0,0,0,0,4,0,0,99,0,0,0,0,0,0,0,0,0,6,0
"Candidatus_Tenderia",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"SUP05_cluster",0,0,8,5,0,0,0,0,4,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,4,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_uncultured_uncultured_uncultured",5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium",27,0,0,43,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinivibrio",0,0,18,0,0,0,8,0,0,0,0,22,49,9,0,0,0,0,11,0,0,0,0,0,0,0
"Vibrio",34,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahniella",0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,5,0
"Chujaibacter",0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0
"Dokdonella",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,56,0
"Dyella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0
"Frateuria",10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteibacter",0,0,0,187,6,6,0,0,0,0,14,5,16,0,6,0,11,0,0,313,4,0,0,0,0,0
"Pseudofulvimonas",35,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,14,0
"Arenimonas",70,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteimonas",0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,60,0,0,21,17,0,0
"Lysobacter",7,18,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"Stenotrophomonas",0,18,0,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2
"Thermomonas",0,0,0,224,6,0,0,0,0,0,6,12,9,0,0,12,0,0,0,0,0,0,0,0,0,6
"Vulcaniibacterium",0,0,0,0,0,0,0,11,0,7,0,0,0,0,7,0,0,0,0,0,0,14,9,5,0,0
"Leptospira",0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,0,0,0,0,0,0,0,0,0,10,0
"RBG-16-49-21",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turneriella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0
"d__Bacteria_Spirochaetota_Leptospirae_Leptospirales_Leptospiraceae_uncultured",0,0,0,2,0,12,21,0,0,0,93,31,0,3,0,7,0,47,90,0,0,0,0,0,3,0
"Spirochaeta",9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Termite_Treponema_cluster",0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema",0,0,158,15,10,5,7,0,0,0,38,87,1425,0,36,28,0,13,17,3,0,0,0,0,0,9
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"Fretibacterium",0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
"Chlamydia",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"cvE6",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SS1-B-02-17",0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0
"Chthoniobacter",9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Verrucomicrobiota_Verrucomicrobiae_Methylacidiphilales_Methylacidiphilaceae_uncultured",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,34,0
"Diplosphaera",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0
"ADurb.Bin063-1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin517",4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Verrucomicrobiota_Verrucomicrobiae_uncultured_uncultured_uncultured",2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persicirhabdus",21,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0
"WPS-2",13,0,0,0,0,0,0,0,6,0,12,2,0,0,0,0,0,10,10,0,0,0,0,0,0,0
"Zixibacteria",5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",644,26,111,494,173,2312,2222,2,415,31,8131,2727,475,1130,1263,1668,115,6651,6419,330,1365,30,45,99,946,365
